Location,Plot,Longitude,Latitude,Elevation (to do),Notes
1,1I1,15.842036,78.199129,,
1,1C1,15.841551,78.19902,,
1,1I2,15.842577,78.198874,,
1,1C2,15.842853,78.198951,,
1,1C3,15.843546,78.198771,,
1,1I3,15.843938,78.198725,,
1,1C4,15.844551,78.198603,,
1,1I4,15.844272,78.198473,,
1,1C5,15.844598,78.198349,,
1,1I5,15.843797,78.198443,,
1,1C6,15.843655,78.198538,,
1,1I6,15.843308,78.198594,,
1,1C7,15.843218,78.198691,,
1,1I7,15.842841,78.198728,,
2,2I1,15.862642,78.191547,,
2,2C1,15.862116,78.191545,,
2,2C2,15.862707,78.191449,,
2,2I2,15.862263,78.191434,,
2,2C3,15.862553,78.191277,,
2,2I3,15.862963,78.191327,,
2,2C4,15.863207,78.191135,,
2,2I4,15.862884,78.191204,,
2,2C5,15.862716,78.191678,,
2,2I5,15.862139,78.191611,,
2,2C6,15.861803,78.19166,,
2,2I6,15.861872,78.191773,,
2,2C7,15.861539,78.191598,,
2,2I7,15.861565,78.191437,,
3,3I1,15.766156,78.184742,,
3,3C1,15.76647,78.184654,,
3,3C2,15.766714,78.184745,,
3,3I2,15.767184,78.184747,,
3,3C3,15.76746,78.184716,,
3,3I3,15.767934,78.18475,,
3,3I4,15.767399,78.184614,,
3,3C4,15.767008,78.184569,,
3,3C5,15.766949,78.184659,,
3,3I5,15.76634,78.184546,,
3,3I6,15.766121,78.184639,,
3,3C6,15.765952,78.184563,,
4,4C1,15.765687,78.184272,,
4,4I1,15.765215,78.184314,,
4,4I2,15.766136,78.184147,,
4,4C2,15.765201,78.1841,,
4,4C3,15.765942,78.183952,,
4,4I3,15.765957,78.183805,,
4,4I4,15.766306,78.183687,,
4,4C4,15.765355,78.183671,,
4,4I5,15.766418,78.183485,,
4,4C5,15.766677,78.183384,,
4,4I6,15.765778,78.183347,,
4,4C6,15.766025,78.183194,,
5,NA,11.916111,78.919749,,"for general location, no individual plot coordinates available"
4,4LS6,15.767062,78.183289,,
4,4ES6,15.766201,78.183231,,
4,4ES5,15.766274,78.1834,,
4,4LS5,15.766023,78.183471,,
4,4LS4,15.766027,78.18359,,
4,4ES4,15.765515,78.183767,,
4,4LS3,15.766127,78.183862,,
4,4ES3,15.765863,78.183933,,
4,4LS2,15.765302,78.183966,,
4,4ES2,15.765057,78.184037,,
4,4ES1,15.765355,78.184189,,
4,4LS1,15.765079,78.184252,,
1,1ES5,15.844735,78.198243,,
1,1LS5,15.844942,78.198395,,
1,1LS4,15.844645,78.198536,,
1,1ES4,15.844027,78.198572,,
1,1LS6,15.843977,78.198648,,
1,1ES6,15.843567,78.198665,,
1,1ES7,15.843045,78.198767,,
1,1LS3,15.843435,78.198883,,
1,1ES3,15.843094,78.198905,,
1,1LS7,15.842156,78.198844,,
1,1ES1,15.841914,78.198934,,
1,1LS1,15.841855,78.199027,,
1,1ES2,15.842365,78.199003,,
1,1LS2,15.84255,78.199066,,
2,2ES6,15.861718,78.191883,,
2,2LS6,15.861442,78.191808,,
2,2ES5,15.862325,78.19175,,
2,2LS5,15.862438,78.191656,,
2,2ES7,15.861163,78.191635,,
2,2LS7,15.861596,78.191557,,
2,2LS1,15.862828,78.191623,,
2,2ES1,15.862674,78.191536,,
2,2ES2,15.862516,78.191414,,
2,2LS2,15.862142,78.191362,,
2,2LS3,15.863146,78.191402,,
2,2ES3,15.863287,78.191327,,
2,2ES4,15.863527,78.191186,,
2,2LS4,15.862847,78.191095,,
